[TRAIN] Step 1 | Loss: 10.956 | LR: 0.000001 | dt: 97613.41ms | tok/sec:  20.98
[TRAIN] Step 2 | Loss: 10.976 | LR: 0.000002 | dt: 1020.34ms | tok/sec:  2007.18
[TRAIN] Step 3 | Loss: 10.859 | LR: 0.000003 | dt: 1024.59ms | tok/sec:  1998.85
[TRAIN] Step 4 | Loss: 10.788 | LR: 0.000004 | dt: 1027.96ms | tok/sec:  1992.29
[TRAIN] Step 5 | Loss: 10.921 | LR: 0.000005 | dt: 1028.70ms | tok/sec:  1990.85
[TRAIN] Step 6 | Loss: 10.690 | LR: 0.000006 | dt: 1033.17ms | tok/sec:  1982.25
[TRAIN] Step 7 | Loss: 10.695 | LR: 0.000007 | dt: 1032.66ms | tok/sec:  1983.24
[TRAIN] Step 8 | Loss: 10.697 | LR: 0.000008 | dt: 1036.57ms | tok/sec:  1975.74
[TRAIN] Step 9 | Loss: 10.558 | LR: 0.000009 | dt: 1039.61ms | tok/sec:  1969.97
[TRAIN] Step 10 | Loss: 10.454 | LR: 0.000010 | dt: 1037.57ms | tok/sec:  1973.84
[TRAIN] Step 11 | Loss: 10.216 | LR: 0.000011 | dt: 1041.73ms | tok/sec:  1965.97
[TRAIN] Step 12 | Loss: 10.200 | LR: 0.000012 | dt: 1048.25ms | tok/sec:  1953.74
[TRAIN] Step 13 | Loss: 10.030 | LR: 0.000013 | dt: 1043.05ms | tok/sec:  1963.48
[TRAIN] Step 14 | Loss: 10.140 | LR: 0.000014 | dt: 1042.73ms | tok/sec:  1964.07
[TRAIN] Step 15 | Loss: 9.879 | LR: 0.000015 | dt: 1046.24ms | tok/sec:  1957.49
[TRAIN] Step 16 | Loss: 9.783 | LR: 0.000016 | dt: 1052.29ms | tok/sec:  1946.22
[TRAIN] Step 17 | Loss: 9.782 | LR: 0.000017 | dt: 1050.53ms | tok/sec:  1949.49
[TRAIN] Step 18 | Loss: 9.561 | LR: 0.000018 | dt: 1053.20ms | tok/sec:  1944.55
[TRAIN] Step 19 | Loss: 9.672 | LR: 0.000019 | dt: 1053.91ms | tok/sec:  1943.24
[TRAIN] Step 20 | Loss: 9.622 | LR: 0.000020 | dt: 1050.87ms | tok/sec:  1948.86
[TRAIN] Step 21 | Loss: 9.600 | LR: 0.000021 | dt: 1053.63ms | tok/sec:  1943.76
[TRAIN] Step 22 | Loss: 9.626 | LR: 0.000022 | dt: 1059.01ms | tok/sec:  1933.89
[TRAIN] Step 23 | Loss: 9.420 | LR: 0.000023 | dt: 1057.13ms | tok/sec:  1937.32
[TRAIN] Step 24 | Loss: 9.460 | LR: 0.000024 | dt: 1062.85ms | tok/sec:  1926.90
[TRAIN] Step 25 | Loss: 9.465 | LR: 0.000025 | dt: 1057.74ms | tok/sec:  1936.21
[TRAIN] Step 26 | Loss: 9.348 | LR: 0.000026 | dt: 1063.44ms | tok/sec:  1925.83
[TRAIN] Step 27 | Loss: 9.328 | LR: 0.000027 | dt: 1064.76ms | tok/sec:  1923.45
[TRAIN] Step 28 | Loss: 9.391 | LR: 0.000028 | dt: 1061.15ms | tok/sec:  1929.98
[TRAIN] Step 29 | Loss: 9.303 | LR: 0.000029 | dt: 1066.94ms | tok/sec:  1919.50
[TRAIN] Step 30 | Loss: 9.179 | LR: 0.000030 | dt: 1069.62ms | tok/sec:  1914.70
[TRAIN] Step 31 | Loss: 9.092 | LR: 0.000031 | dt: 1068.65ms | tok/sec:  1916.44
[TRAIN] Step 32 | Loss: 9.246 | LR: 0.000032 | dt: 1069.84ms | tok/sec:  1914.31
[TRAIN] Step 33 | Loss: 9.063 | LR: 0.000033 | dt: 1072.93ms | tok/sec:  1908.80
[TRAIN] Step 34 | Loss: 9.049 | LR: 0.000034 | dt: 1072.82ms | tok/sec:  1908.98
[TRAIN] Step 35 | Loss: 8.958 | LR: 0.000035 | dt: 1071.23ms | tok/sec:  1911.83
[TRAIN] Step 36 | Loss: 8.979 | LR: 0.000036 | dt: 1072.21ms | tok/sec:  1910.07
[TRAIN] Step 37 | Loss: 9.031 | LR: 0.000037 | dt: 1074.76ms | tok/sec:  1905.54
[TRAIN] Step 38 | Loss: 9.059 | LR: 0.000038 | dt: 1076.99ms | tok/sec:  1901.59
[TRAIN] Step 39 | Loss: 8.973 | LR: 0.000039 | dt: 1074.58ms | tok/sec:  1905.86
[TRAIN] Step 40 | Loss: 8.990 | LR: 0.000040 | dt: 1075.43ms | tok/sec:  1904.36
[TRAIN] Step 41 | Loss: 8.948 | LR: 0.000041 | dt: 1076.52ms | tok/sec:  1902.43
[TRAIN] Step 42 | Loss: 9.086 | LR: 0.000042 | dt: 1076.73ms | tok/sec:  1902.05
[TRAIN] Step 43 | Loss: 8.905 | LR: 0.000043 | dt: 1073.12ms | tok/sec:  1908.45
[TRAIN] Step 44 | Loss: 8.901 | LR: 0.000044 | dt: 1071.46ms | tok/sec:  1911.41
[TRAIN] Step 45 | Loss: 8.757 | LR: 0.000045 | dt: 1069.41ms | tok/sec:  1915.08
[TRAIN] Step 46 | Loss: 8.771 | LR: 0.000046 | dt: 1067.39ms | tok/sec:  1918.70
[TRAIN] Step 47 | Loss: 8.790 | LR: 0.000047 | dt: 1069.65ms | tok/sec:  1914.65
[TRAIN] Step 48 | Loss: 8.897 | LR: 0.000048 | dt: 1068.50ms | tok/sec:  1916.71
[TRAIN] Step 49 | Loss: 8.911 | LR: 0.000049 | dt: 1068.31ms | tok/sec:  1917.04
[TRAIN] Step 50 | Loss: 8.801 | LR: 0.000050 | dt: 1068.21ms | tok/sec:  1917.23
[TRAIN] Step 51 | Loss: 8.864 | LR: 0.000051 | dt: 1060.12ms | tok/sec:  1931.86
[TRAIN] Step 52 | Loss: 8.785 | LR: 0.000052 | dt: 1062.70ms | tok/sec:  1927.16
[TRAIN] Step 53 | Loss: 8.747 | LR: 0.000053 | dt: 1057.45ms | tok/sec:  1936.73
[TRAIN] Step 54 | Loss: 8.628 | LR: 0.000054 | dt: 1061.03ms | tok/sec:  1930.20
[TRAIN] Step 55 | Loss: 8.578 | LR: 0.000055 | dt: 1053.59ms | tok/sec:  1943.84
[TRAIN] Step 56 | Loss: 8.654 | LR: 0.000056 | dt: 1061.17ms | tok/sec:  1929.94
[TRAIN] Step 57 | Loss: 8.694 | LR: 0.000057 | dt: 1058.51ms | tok/sec:  1934.80
[TRAIN] Step 58 | Loss: 8.557 | LR: 0.000058 | dt: 1054.02ms | tok/sec:  1943.03
[TRAIN] Step 59 | Loss: 8.426 | LR: 0.000059 | dt: 1054.16ms | tok/sec:  1942.77
[TRAIN] Step 60 | Loss: 8.485 | LR: 0.000060 | dt: 1054.52ms | tok/sec:  1942.12
[TRAIN] Step 61 | Loss: 8.420 | LR: 0.000061 | dt: 1066.30ms | tok/sec:  1920.67
[TRAIN] Step 62 | Loss: 8.330 | LR: 0.000062 | dt: 1053.65ms | tok/sec:  1943.72
[TRAIN] Step 63 | Loss: 8.292 | LR: 0.000063 | dt: 1053.47ms | tok/sec:  1944.04
[TRAIN] Step 64 | Loss: 8.354 | LR: 0.000064 | dt: 1053.82ms | tok/sec:  1943.41
[TRAIN] Step 65 | Loss: 8.240 | LR: 0.000065 | dt: 1057.86ms | tok/sec:  1935.99
[TRAIN] Step 66 | Loss: 8.067 | LR: 0.000066 | dt: 1045.13ms | tok/sec:  1959.56
[TRAIN] Step 67 | Loss: 8.090 | LR: 0.000067 | dt: 1050.61ms | tok/sec:  1949.34
[TRAIN] Step 68 | Loss: 8.108 | LR: 0.000068 | dt: 1047.54ms | tok/sec:  1955.06
[TRAIN] Step 69 | Loss: 8.141 | LR: 0.000069 | dt: 1046.57ms | tok/sec:  1956.86
[TRAIN] Step 70 | Loss: 7.912 | LR: 0.000070 | dt: 1048.75ms | tok/sec:  1952.80
[TRAIN] Step 71 | Loss: 7.979 | LR: 0.000071 | dt: 1048.56ms | tok/sec:  1953.15
[TRAIN] Step 72 | Loss: 7.889 | LR: 0.000072 | dt: 1046.93ms | tok/sec:  1956.20
[TRAIN] Step 73 | Loss: 7.946 | LR: 0.000073 | dt: 1050.59ms | tok/sec:  1949.38
[TRAIN] Step 74 | Loss: 7.664 | LR: 0.000074 | dt: 1043.15ms | tok/sec:  1963.28
[TRAIN] Step 75 | Loss: 7.811 | LR: 0.000075 | dt: 1041.44ms | tok/sec:  1966.51
[TRAIN] Step 76 | Loss: 7.723 | LR: 0.000076 | dt: 1046.19ms | tok/sec:  1957.59
[TRAIN] Step 77 | Loss: 7.796 | LR: 0.000077 | dt: 1045.30ms | tok/sec:  1959.25
[TRAIN] Step 78 | Loss: 7.713 | LR: 0.000078 | dt: 1046.80ms | tok/sec:  1956.43
[TRAIN] Step 79 | Loss: 7.517 | LR: 0.000079 | dt: 1046.55ms | tok/sec:  1956.90
[TRAIN] Step 80 | Loss: 7.486 | LR: 0.000080 | dt: 1039.49ms | tok/sec:  1970.19
[TRAIN] Step 81 | Loss: 7.474 | LR: 0.000081 | dt: 1046.52ms | tok/sec:  1956.95
[TRAIN] Step 82 | Loss: 7.406 | LR: 0.000082 | dt: 1047.08ms | tok/sec:  1955.92
[TRAIN] Step 83 | Loss: 7.423 | LR: 0.000083 | dt: 1045.89ms | tok/sec:  1958.14
[TRAIN] Step 84 | Loss: 7.496 | LR: 0.000084 | dt: 1042.94ms | tok/sec:  1963.67
[TRAIN] Step 85 | Loss: 7.395 | LR: 0.000085 | dt: 1043.99ms | tok/sec:  1961.70
[TRAIN] Step 86 | Loss: 7.295 | LR: 0.000086 | dt: 1046.82ms | tok/sec:  1956.41
[TRAIN] Step 87 | Loss: 7.180 | LR: 0.000087 | dt: 1046.80ms | tok/sec:  1956.43
[TRAIN] Step 88 | Loss: 7.152 | LR: 0.000088 | dt: 1049.12ms | tok/sec:  1952.11
[TRAIN] Step 89 | Loss: 7.283 | LR: 0.000089 | dt: 1046.57ms | tok/sec:  1956.86
[TRAIN] Step 90 | Loss: 7.296 | LR: 0.000090 | dt: 1042.90ms | tok/sec:  1963.76
[TRAIN] Step 91 | Loss: 7.268 | LR: 0.000091 | dt: 1043.85ms | tok/sec:  1961.96
[TRAIN] Step 92 | Loss: 7.132 | LR: 0.000092 | dt: 1048.31ms | tok/sec:  1953.62
[TRAIN] Step 93 | Loss: 7.218 | LR: 0.000093 | dt: 1050.54ms | tok/sec:  1949.48
[TRAIN] Step 94 | Loss: 7.112 | LR: 0.000094 | dt: 1048.17ms | tok/sec:  1953.88
[TRAIN] Step 95 | Loss: 6.971 | LR: 0.000095 | dt: 1049.81ms | tok/sec:  1950.83
[TRAIN] Step 96 | Loss: 6.795 | LR: 0.000096 | dt: 1052.38ms | tok/sec:  1946.06
[TRAIN] Step 97 | Loss: 7.079 | LR: 0.000097 | dt: 1049.33ms | tok/sec:  1951.71
[TRAIN] Step 98 | Loss: 6.960 | LR: 0.000098 | dt: 1052.06ms | tok/sec:  1946.66
[TRAIN] Step 99 | Loss: 6.836 | LR: 0.000099 | dt: 1050.80ms | tok/sec:  1949.00
[TRAIN] Step 100 | Loss: 6.814 | LR: 0.000100 | dt: 1046.63ms | tok/sec:  1956.75
[TRAIN] Step 101 | Loss: 6.779 | LR: 0.000101 | dt: 1050.07ms | tok/sec:  1950.35
[TRAIN] Step 102 | Loss: 6.825 | LR: 0.000102 | dt: 1051.61ms | tok/sec:  1947.48
[TRAIN] Step 103 | Loss: 6.785 | LR: 0.000103 | dt: 1049.93ms | tok/sec:  1950.61
[TRAIN] Step 104 | Loss: 6.735 | LR: 0.000104 | dt: 1052.32ms | tok/sec:  1946.17
[TRAIN] Step 105 | Loss: 6.783 | LR: 0.000105 | dt: 1051.70ms | tok/sec:  1947.33
[TRAIN] Step 106 | Loss: 6.923 | LR: 0.000106 | dt: 1055.37ms | tok/sec:  1940.54
[TRAIN] Step 107 | Loss: 6.807 | LR: 0.000107 | dt: 1060.10ms | tok/sec:  1931.89
[TRAIN] Step 108 | Loss: 6.872 | LR: 0.000108 | dt: 1052.75ms | tok/sec:  1945.39
[TRAIN] Step 109 | Loss: 6.696 | LR: 0.000109 | dt: 1053.83ms | tok/sec:  1943.39
[TRAIN] Step 110 | Loss: 6.693 | LR: 0.000110 | dt: 1058.05ms | tok/sec:  1935.64
[TRAIN] Step 111 | Loss: 6.616 | LR: 0.000111 | dt: 1056.09ms | tok/sec:  1939.23
[TRAIN] Step 112 | Loss: 6.647 | LR: 0.000112 | dt: 1057.60ms | tok/sec:  1936.46
[TRAIN] Step 113 | Loss: 6.652 | LR: 0.000113 | dt: 1060.74ms | tok/sec:  1930.72
[TRAIN] Step 114 | Loss: 6.754 | LR: 0.000114 | dt: 1056.24ms | tok/sec:  1938.95
[TRAIN] Step 115 | Loss: 6.805 | LR: 0.000115 | dt: 1061.34ms | tok/sec:  1929.63
[TRAIN] Step 116 | Loss: 6.693 | LR: 0.000116 | dt: 1054.36ms | tok/sec:  1942.41
[TRAIN] Step 117 | Loss: 6.758 | LR: 0.000117 | dt: 1064.93ms | tok/sec:  1923.13
[TRAIN] Step 118 | Loss: 6.711 | LR: 0.000118 | dt: 1057.63ms | tok/sec:  1936.40
[TRAIN] Step 119 | Loss: 6.449 | LR: 0.000119 | dt: 1060.72ms | tok/sec:  1930.77
[TRAIN] Step 120 | Loss: 6.627 | LR: 0.000120 | dt: 1056.78ms | tok/sec:  1937.96
[TRAIN] Step 121 | Loss: 6.528 | LR: 0.000121 | dt: 1058.20ms | tok/sec:  1935.37
[TRAIN] Step 122 | Loss: 6.361 | LR: 0.000122 | dt: 1062.81ms | tok/sec:  1926.97
[TRAIN] Step 123 | Loss: 6.500 | LR: 0.000123 | dt: 1056.68ms | tok/sec:  1938.15
[TRAIN] Step 124 | Loss: 6.615 | LR: 0.000124 | dt: 1061.46ms | tok/sec:  1929.42
[TRAIN] Step 125 | Loss: 6.431 | LR: 0.000125 | dt: 1062.86ms | tok/sec:  1926.88
[TRAIN] Step 126 | Loss: 6.581 | LR: 0.000126 | dt: 1060.59ms | tok/sec:  1930.99
[TRAIN] Step 127 | Loss: 6.707 | LR: 0.000127 | dt: 1055.92ms | tok/sec:  1939.54
[TRAIN] Step 128 | Loss: 6.489 | LR: 0.000128 | dt: 1056.72ms | tok/sec:  1938.08
[TRAIN] Step 129 | Loss: 6.418 | LR: 0.000129 | dt: 1058.89ms | tok/sec:  1934.10
