[LOAD] Checkpoint loaded at step 5000
Training resumed from step 5001
[TRAIN] Step 5001 | Loss: 0.034 | LR: 0.000050 | dt: 1122.43ms | tok/sec:  1824.61
[TRAIN] Step 5002 | Loss: 0.038 | LR: 0.000050 | dt: 1058.27ms | tok/sec:  1935.24
[TRAIN] Step 5003 | Loss: 0.044 | LR: 0.000050 | dt: 1061.47ms | tok/sec:  1929.39
[TRAIN] Step 5004 | Loss: 0.048 | LR: 0.000050 | dt: 1068.50ms | tok/sec:  1916.70
[TRAIN] Step 5005 | Loss: 0.044 | LR: 0.000050 | dt: 1070.05ms | tok/sec:  1913.93
[TRAIN] Step 5006 | Loss: 0.032 | LR: 0.000050 | dt: 1071.22ms | tok/sec:  1911.84
[TRAIN] Step 5007 | Loss: 0.042 | LR: 0.000050 | dt: 1074.76ms | tok/sec:  1905.54
[TRAIN] Step 5008 | Loss: 0.037 | LR: 0.000050 | dt: 1078.00ms | tok/sec:  1899.81
[TRAIN] Step 5009 | Loss: 0.042 | LR: 0.000050 | dt: 1076.89ms | tok/sec:  1901.77
[TRAIN] Step 5010 | Loss: 0.044 | LR: 0.000050 | dt: 1082.14ms | tok/sec:  1892.55
[TRAIN] Step 5011 | Loss: 0.038 | LR: 0.000050 | dt: 1085.98ms | tok/sec:  1885.85
[TRAIN] Step 5012 | Loss: 0.063 | LR: 0.000050 | dt: 1094.30ms | tok/sec:  1871.51
[TRAIN] Step 5013 | Loss: 0.043 | LR: 0.000050 | dt: 1090.47ms | tok/sec:  1878.09
[TRAIN] Step 5014 | Loss: 0.038 | LR: 0.000050 | dt: 1088.11ms | tok/sec:  1882.17
[TRAIN] Step 5015 | Loss: 0.030 | LR: 0.000050 | dt: 1094.71ms | tok/sec:  1870.82
[TRAIN] Step 5016 | Loss: 0.035 | LR: 0.000050 | dt: 1092.92ms | tok/sec:  1873.88
[TRAIN] Step 5017 | Loss: 0.034 | LR: 0.000050 | dt: 1091.19ms | tok/sec:  1876.86
[TRAIN] Step 5018 | Loss: 0.044 | LR: 0.000050 | dt: 1089.74ms | tok/sec:  1879.35
[TRAIN] Step 5019 | Loss: 0.038 | LR: 0.000050 | dt: 1090.48ms | tok/sec:  1878.07
[TRAIN] Step 5020 | Loss: 0.040 | LR: 0.000050 | dt: 1092.64ms | tok/sec:  1874.36
[TRAIN] Step 5021 | Loss: 0.061 | LR: 0.000050 | dt: 1091.48ms | tok/sec:  1876.35
[TRAIN] Step 5022 | Loss: 0.039 | LR: 0.000050 | dt: 1091.00ms | tok/sec:  1877.18
